group_name	nce	contrast_angle
TMT6plex	32.353613	0.784008
TMT6plex	32.807127	0.909382
TMT6plex	33.553261	0.779769
TMT6plex	34.999999	0.628389
Unmodified	31.232077	0.859317
mixed	34.999999	0.316248
Unmodified	31.325924	0.809907
Phospho	34.999999	0.661695
Unmodified	32.874814	0.915852
Pyro-Glu	33.683634	0.897824
TMT6plex	34.999999	0.798769
Unmodified	32.263008	0.785146
Phospho	34.999999	0.825361
Oxidation	32.835647	0.948754
Unmodified	34.999999	0.852252
Unmodified	31.707728	0.566065
TMT6plex	32.295156	0.855944
mixed	31.571999	0.402955
TMT6plex	32.789519	0.711002
TMT6plex	32.692790	0.856481
Unmodified	32.527092	0.908046
Unmodified	32.902101	0.899972
Unmodified	31.568730	0.590499
TMT6plex	31.808841	0.941557
mixed	32.701525	0.870626
Unmodified	34.999999	0.452720
Oxidation	34.999999	0.251861
TMT6plex	34.999999	0.609702
mixed	34.999999	0.881675
Unmodified	30.559236	0.916978
Unmodified	32.099161	0.416320
HexNAc	34.999999	0.318915
Unmodified	34.135407	0.616839
Unmodified	31.538960	0.813647
TMT6plex	33.930707	0.882096
TMT6plex	27.113131	0.897388
Phospho	30.672720	0.901163
mixed	32.902342	0.949077
Unmodified	33.272478	0.754904
Unmodified	34.726280	0.664343
Unmodified	34.999999	0.673849
Unmodified	32.574266	0.840894
Unmodified	32.012001	0.807299
Oxidation	34.999999	0.718531
TMT6plex	31.268546	0.750012
Unmodified	31.841728	0.962490
mixed	32.031414	0.852782
TMT6plex	34.999999	0.680659
Unmodified	32.144076	0.929304
Unmodified	32.901120	0.465953
Phospho	34.999999	0.845771
Unmodified	33.161646	0.853617
Unmodified	33.064312	0.887295
TMT6plex	31.864867	0.916427
TMT6plex	31.786796	0.409968
GlyGly (Ub)	31.825975	0.889638
TMT6plex	32.466337	0.822587
TMT6plex	33.306122	0.856932
Unmodified	32.430753	0.787714
mixed	32.882071	0.800208
TMT6plex	34.999999	0.964051
Unmodified	34.999999	0.804494
Unmodified	34.376621	0.911161
Unmodified	32.902652	0.708889
mixed	33.394855	0.837804
Unmodified	31.779668	0.918871
Phospho	30.896541	0.842946
Oxidation	31.917456	0.808316
Unmodified	34.442991	0.917705
TMT6plex	31.575876	0.793755
TMT6plex	33.569133	0.840605
TMT6plex	31.355226	0.785775
Phospho	32.359469	0.891222
Oxidation	32.572824	0.794452
Unmodified	32.621869	0.904867
Unmodified	32.473224	0.956978
Unmodified	34.999999	0.933495
TMT6plex	31.661513	0.887133
mixed	34.999999	0.322671
TMT6plex	34.999999	0.710022
Unmodified	33.032280	0.908935
Unmodified	31.755650	0.862281
Unmodified	32.534742	0.956370
Unmodified	32.205659	0.948370
Oxidation	34.999999	0.866100
mixed	34.999999	0.797498
Unmodified	33.560109	0.789004
TMT6plex	33.960369	0.791827
TMT6plex	32.093978	0.952864
Methyl	34.999999	0.883545
Phospho	34.999999	0.900497
Unmodified	34.336072	0.852076
Unmodified	34.999999	0.656431
TMT6plex	31.869948	0.520041
TMT6plex	32.409152	0.898560
TMT6plex	33.738562	0.822840
mixed	33.354583	0.839850
Unmodified	31.779122	0.971856
TMT6plex	31.716207	0.848142
Acetyl	31.124339	0.982846
Unmodified	31.212583	0.820825
Unmodified	34.995037	0.150510
Phospho	34.999999	0.678056
Unmodified	34.999999	0.882519
TMT6plex	32.720640	0.732089
TMT6plex	31.961086	0.951393
mixed	31.001854	0.888194
Unmodified	32.806534	0.649802
mixed	34.999999	0.707678
Oxidation	31.417179	0.740413
Phospho	31.288156	0.699945
Methyl	34.999999	0.985903
Oxidation	33.242273	0.893673
Unmodified	32.597741	0.802939
TMT6plex	31.014660	0.844660
Phospho	34.999999	0.861807
Unmodified	34.999999	0.461113
Unmodified	33.662379	0.869913
Unmodified	32.245368	0.910759
Unmodified	31.594595	0.776860
mixed	32.376853	0.915299
GlyGly (Ub)	32.041687	0.949391
mixed	34.999999	0.768492
Phospho	32.497272	0.822098
TMT6plex	31.027564	0.644055
Phospho	32.048571	0.873051
Unmodified	33.597106	0.879603
Unmodified	31.608814	0.851883
Unmodified	34.999999	0.621317
mixed	34.082371	0.796598
mixed	32.717949	0.903854
TMT6plex	30.617476	0.381867
Unmodified	33.089161	0.890851
GlyGly (Ub)	34.999999	0.901472
Unmodified	31.441352	0.689692
GlyGly (Ub)	31.758466	0.943637
Unmodified	32.660225	0.956480
Unmodified	33.688670	0.828784
mixed	34.999999	0.368037
Unmodified	31.919834	0.891322
mixed	40.145904	0.809450
Oxidation	32.671770	0.830064
Phospho	32.351038	0.934753
mixed	32.128289	0.851478
Unmodified	34.999999	0.830535
GlyGly (Ub)	32.522178	0.890012
Phospho	31.161222	0.911018
Unmodified	32.099921	0.934505
Unmodified	32.333964	0.934157
Unmodified	33.061081	0.674350
Unmodified	32.148844	0.670968
Unmodified	31.376192	0.875092
Unmodified	31.547385	0.844869
Pyro-Glu	33.896616	0.920313
Unmodified	33.321324	0.791399
GlyGly (Ub)	32.760215	0.873907
TMT6plex	33.869329	0.759129
TMT6plex	33.487386	0.867045
Unmodified	32.911226	0.854015
TMT6plex	34.999999	0.774041
Unmodified	34.999999	0.951503
mixed	31.040826	0.772718
mixed	34.999999	0.691982
GlyGly (Ub)	32.391590	0.872674
Unmodified	34.999999	0.846114
Unmodified	31.057605	0.913440
TMT6plex	32.422566	0.341063
TMT6plex	33.475378	0.914778
Unmodified	32.289186	0.533656
Acetyl	34.999999	0.980395
Oxidation	32.626745	0.896843
Pyro-Glu	33.467326	0.818921
Unmodified	31.914738	0.952291
TMT6plex	34.999999	0.749457
mixed	32.910696	0.890871
Oxidation	34.999999	0.340586
Unmodified	31.423137	0.914401
GlyGly (Ub)	32.760215	0.924072
TMT6plex	34.999999	0.607647
Unmodified	31.825829	0.945556
Unmodified	32.601759	0.696568
Unmodified	32.961547	0.947886
Unmodified	32.221478	0.934509
Methyl	34.999999	0.775029
Unmodified	31.547385	0.956270
mixed	34.999999	0.691328
Oxidation	32.371363	0.883797
Unmodified	32.826641	0.802485
TMT6plex	33.897868	0.517656
TMT6plex	32.320833	0.854178
Unmodified	32.646886	0.839963
TMT6plex	31.808841	0.944966
TMT6plex	32.449606	0.887187
TMT6plex	33.674619	0.871060
Oxidation	31.599751	0.716325
mixed	34.611705	0.921053
TMT6plex	34.999999	0.781269
Oxidation	32.432023	0.854844
GlyGly (Ub)	32.527128	0.720770
Unmodified	32.430857	0.933532
